id,language,result
0,cpp,1.96E-7
1,cpp,1.51E-7
2,cpp,1.79E-7
3,cpp,1.0E-7
4,cpp,1.91E-7
5,cpp,1.8E-7
6,cpp,2.45E-7
7,cpp,1.08E-7
8,cpp,1.59E-7
9,cpp,2.2E-7
10,cpp,2.49E-7
11,cpp,1.28E-7
12,cpp,1.09E-7
13,cpp,1.67E-7
14,cpp,2.1E-7
15,cpp,1.03E-7
16,cpp,2.09E-7
17,cpp,2.79E-7
18,cpp,1.89E-7
19,cpp,1.3E-7
20,cpp,2.19E-7
21,cpp,1.99E-7
22,cpp,2.39E-7
23,cpp,2.73E-7
24,cpp,1.0E-7
25,cpp,1.0E-7
26,cpp,2.35E-7
27,cpp,1.09E-7
28,cpp,1.7E-7
29,cpp,1.49E-7
30,cpp,7.0E-8
31,cpp,1.5E-7
32,cpp,2.3E-7
33,cpp,1.86E-7
34,cpp,2.41E-7
35,cpp,1.3E-7
36,cpp,1.7E-7
37,cpp,1.19E-7
38,cpp,1.17E-7
39,cpp,1.34E-7
40,cpp,1.55E-7
41,cpp,1.37E-7
42,cpp,1.94E-7
43,cpp,2.51E-7
44,cpp,1.85E-7
45,cpp,1.59E-7
46,cpp,2.1E-7
47,cpp,1.63E-7
48,cpp,1.59E-7
49,cpp,1.66E-7
50,java,2.1827779999999998E-7
51,java,1.147659090909091E-7
52,java,1.08771E-7
53,java,8.193342857142858E-8
54,java,8.495046153846154E-8
55,java,2.0573250000000002E-7
56,java,1.38270625E-7
57,java,1.153707E-7
58,java,1.0239225000000001E-7
59,java,8.14878E-8
60,java,7.714721428571429E-8
61,java,8.73615E-8
62,java,1.176709E-7
63,java,1.55931625E-7
64,java,1.60358875E-7
65,java,1.7066099999999997E-7
66,java,2.1711349999999998E-7
67,java,1.8031433333333333E-7
68,java,1.9331416666666668E-7
69,java,1.7007214285714284E-7
70,java,1.75112E-7
71,java,1.6284885714285712E-7
72,java,1.6465842857142855E-7
73,java,1.7305785714285713E-7
74,java,1.442847142857143E-7
75,java,1.42558375E-7
76,java,1.6279200000000002E-7
77,java,1.4286025E-7
78,java,1.6378285714285712E-7
79,java,1.41207875E-7
80,java,1.6386285714285714E-7
81,java,1.7200857142857143E-7
82,java,1.71344E-7
83,java,1.4774E-7
84,java,1.5615385714285716E-7
85,java,1.3852450000000002E-7
86,java,1.6728385714285715E-7
87,java,1.6039171428571426E-7
88,java,1.6280142857142856E-7
89,java,1.6961650000000002E-7
90,java,1.585277142857143E-7
91,java,1.511552857142857E-7
92,java,1.52484875E-7
93,java,1.48391125E-7
94,java,1.7391514285714286E-7
95,java,1.7210157142857143E-7
96,java,1.67233E-7
97,java,1.39984375E-7
98,java,1.4076755555555555E-7
99,java,1.413115E-7
100,python,7.84E-7
101,python,5.29E-7
102,python,6.59E-7
103,python,5.44E-7
104,python,6.77E-7
105,python,6.46E-7
106,python,5.58E-7
107,python,6.84E-7
108,python,6.76E-7
109,python,8.31E-7
110,python,6.53E-7
111,python,5.65E-7
112,python,5.87E-7
113,python,5.67E-7
114,python,6.62E-7
115,python,6.51E-7
116,python,5.9E-7
117,python,6.09E-7
118,python,8.83E-7
119,python,5.9E-7
120,python,6.62E-7
121,python,6.68E-7
122,python,6.17E-7
123,python,5.58E-7
124,python,5.5E-7
125,python,5.9E-7
126,python,9.03E-7
127,python,6.1E-7
128,python,5.91E-7
129,python,5.57E-7
130,python,6.24E-7
131,python,5.47E-7
132,python,6.82E-7
133,python,6.47E-7
134,python,5.28E-7
135,python,6.06E-7
136,python,4.73E-7
137,python,5.44E-7
138,python,5.77E-7
139,python,6.06E-7
140,python,5.56E-7
141,python,6.36E-7
142,python,7.57E-7
143,python,6.46E-7
144,python,7.37E-7
145,python,5.48E-7
146,python,6.74E-7
147,python,5.71E-7
148,python,6.13E-7
149,python,5.92E-7
